7232.63568,E,30.81,18,200916,FFFFFBFF#
*HQ,355488020191403,V1,151345,A,2308.43214,N,07232.63568,E,30.81,18,200916,FFFFFBFF#
*HQ,355488020191403,V1,151345,A,2308.43214,N,07232.63568,E,30.81,18,200916,FFFFFBFF#
*HQ,355488020191403,V1,151346,A,2308.44048,N,07232.63864,E,31.30,18,200916,FFFFFBFF#
*HQ,355488020191403,V1,151346,A,2308.44048,N,07232.63864,E,31.30,18,200916,FFFFFBFF#
*HQ,355488020191403,V1,151346,A,2308.44048,N,07232.63864,E,31.30,18,200916,FFFFFBFF#
*HQ,355488020191403,V1,151347,A,2308.44867,N,07232.64165,E,30.18,19,200916,FFFFFBFF#
*HQ,355488020191403,V1,151347,A,2308.44867,N,07232.64165,E,30.18,19,200916,FFFFFBFF#
*HQ,355488020191403,V1,151347,A,2308.44867,N,07232.64165,E,30.18,19,200916,FFFFFBFF#
*HQ,355488020191403,V1,151348,A,2308.45684,N,07232.64461,E,30.63,19,200916,FFFFFBFF#
*HQ,355488020191403,V1,151348,A,2308.45684,N,07232.64461,E,30.63,19,200916,FFFFFBFF#
*HQ,355488020191403,V1,151348,A,2308.45684,N,07232.64461,E,30.63,19,200916,FFFFFBFF#
